Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
32.412,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.257,-0.817,3.368
32.534,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.271,-0.822,3.374
32.753,0.883,0.691,1.756,0.086,-0.922,-0.367,0.047,1.299,-0.838,3.381
32.912,0.907,0.691,1.756,0.109,-0.914,-0.359,0.063,1.393,-0.847,3.450
33.054,0.907,0.697,1.755,0.180,-0.914,-0.336,0.078,1.757,-1.072,4.061
33.186,0.904,0.705,1.754,0.242,-0.906,-0.305,0.102,1.981,-0.807,4.127
33.303,0.899,0.713,1.754,0.297,-0.898,-0.281,0.125,2.176,-0.680,4.279
33.404,0.896,0.716,1.753,0.328,-0.891,-0.273,0.141,2.335,-0.555,4.363
33.507,0.893,0.718,1.753,0.352,-0.875,-0.266,0.156,2.523,-0.439,4.442
33.631,0.890,0.719,1.753,0.375,-0.867,-0.258,0.172,2.690,-0.317,4.486
33.744,0.885,0.718,1.753,0.406,-0.852,-0.258,0.180,2.776,-0.223,4.513
33.933,0.879,0.714,1.753,0.430,-0.836,-0.250,0.188,2.872,-0.082,4.525
34.135,0.867,0.703,1.756,0.484,-0.805,-0.242,0.219,3.028,0.055,4.532
34.240,0.867,0.703,1.756,0.484,-0.805,-0.242,0.219,3.068,0.078,4.542
34.343,0.866,0.699,1.756,0.500,-0.789,-0.242,0.234,3.291,0.212,4.567
34.493,0.871,0.693,1.756,0.516,-0.766,-0.250,0.258,3.531,0.270,4.559
34.595,0.879,0.685,1.756,0.523,-0.750,-0.266,0.281,3.172,0.362,3.976
34.719,0.879,0.685,1.756,0.523,-0.750,-0.266,0.281,3.309,0.397,3.881
34.822,0.887,0.679,1.756,0.523,-0.734,-0.273,0.305,3.309,0.397,3.881
35.051,0.899,0.672,1.755,0.523,-0.719,-0.297,0.328,3.180,0.399,3.427
35.197,0.899,0.672,1.755,0.523,-0.719,-0.297,0.328,3.173,0.386,3.427
35.318,0.899,0.672,1.755,0.523,-0.719,-0.297,0.328,3.175,0.402,3.418
35.447,0.899,0.672,1.755,0.523,-0.719,-0.297,0.328,3.179,0.434,3.387
35.614,0.899,0.672,1.755,0.523,-0.719,-0.297,0.328,3.180,0.456,3.356
35.716,0.899,0.672,1.755,0.523,-0.719,-0.297,0.328,3.177,0.460,3.340
35.818,0.899,0.672,1.755,0.523,-0.719,-0.297,0.328,3.171,0.464,3.307
35.919,0.919,0.662,1.754,0.523,-0.703,-0.313,0.344,3.195,0.458,3.275
36.131,0.919,0.662,1.754,0.523,-0.703,-0.313,0.344,3.191,0.448,3.344
36.275,0.919,0.662,1.754,0.523,-0.703,-0.313,0.344,3.201,0.450,3.461
36.378,0.914,0.663,1.756,0.539,-0.711,-0.297,0.320,3.197,0.448,3.512
36.485,0.914,0.663,1.756,0.539,-0.711,-0.297,0.320,3.199,0.429,3.566
36.608,0.914,0.663,1.756,0.539,-0.711,-0.297,0.320,3.184,0.410,3.617
36.751,0.914,0.663,1.756,0.539,-0.711,-0.297,0.320,3.185,0.410,3.616
36.861,0.914,0.663,1.756,0.539,-0.711,-0.297,0.320,3.181,0.421,3.633
36.972,0.914,0.663,1.756,0.539,-0.711,-0.297,0.320,3.182,0.419,3.638
37.206,0.896,0.658,1.758,0.547,-0.719,-0.281,0.297,3.324,0.428,4.039
37.309,0.885,0.657,1.760,0.570,-0.719,-0.258,0.281,3.620,0.436,4.554
